ORDERID,SOURCE,ORDERSTATUS,RIDERPROVIDER,STOREID,CUSTOMERPINCODE,ORDERPLACEDDATE,VERIFIEDDATE,STOREPUSHEDDATE,BILLEDDATE,RIDERASSIGNEDDATE,OFDDATE,ARRIVEDDATE,DELIVEREDDATE,PROMISEDTAT,CANCELLEDDATE,MRP,PAYMENTMETHOD
8330,Mobile - Android,Delivered,D,228024,500060,2022-Apr-04 19:26:00,2022-Apr-04 19:27:00,2022-Apr-04 19:27:00,2022-Apr-04 19:30:00,2022-Apr-04 19:33:00,2022-Apr-04 19:46:00,2022-Apr-04 19:54:00,2022-Apr-04 19:57:00,2022-Apr-04 21:30:00,,380,PREPAID
8331,Mobile - mWeb,Delivered,O,226106,700095,2022-Apr-04 19:26:00,2022-Apr-04 19:27:00,2022-Apr-04 19:28:00,2022-Apr-04 19:38:00,2022-Apr-04 19:49:00,2022-Apr-04 21:21:00,2022-Apr-04 21:47:00,2022-Apr-04 21:48:00,2022-Apr-04 21:30:00,,396,COD
8332,Mobile - Android,Delivered,D,234130,500032,2022-Apr-04 19:26:00,2022-Apr-04 19:29:00,2022-Apr-04 19:30:00,2022-Apr-04 19:34:00,2022-Apr-04 19:36:00,2022-Apr-04 19:38:00,2022-Apr-04 20:36:00,2022-Apr-04 20:39:00,2022-Apr-04 21:30:00,,898,PREPAID
8333,Mobile - Android,Billed,,226214,700055,2022-Apr-04 19:26:00,2022-Apr-04 19:27:00,2022-Apr-04 19:29:00,2022-Apr-04 19:30:00,,,,,2022-Apr-04 21:30:00,,575,COD
8334,Mobile - Android,Assigned,D,222028,110049,2022-Apr-04 19:26:00,2022-Apr-04 19:27:00,2022-Apr-04 19:31:00,2022-Apr-04 19:38:00,2022-Apr-04 19:40:00,,,,2022-Apr-04 21:30:00,,1000,COD
8335,Mobile - iOS,Arrived,K,231170,500081,2022-Apr-04 19:27:00,2022-Apr-04 19:42:00,2022-Apr-04 19:44:00,2022-Apr-04 19:45:00,2022-Apr-04 19:47:00,2022-Apr-04 20:06:00,2022-Apr-04 20:21:00,,2022-Apr-04 22:00:00,,773.58,PREPAID
8336,Mobile - iOS,Delivered,D,229036,600017,2022-Apr-04 19:27:00,2022-Apr-04 19:49:00,2022-Apr-04 19:51:00,2022-Apr-04 19:52:00,2022-Apr-04 19:54:00,2022-Apr-04 20:21:00,2022-Apr-04 20:37:00,2022-Apr-04 20:37:00,2022-Apr-04 22:00:00,,477.69,PREPAID
8337,Mobile - mWeb,Out for Delivery,O,222124,110076,2022-Apr-04 19:27:00,2022-Apr-04 19:37:00,2022-Apr-04 19:38:00,2022-Apr-04 19:44:00,2022-Apr-04 20:15:00,2022-Apr-04 20:17:00,,,2022-Apr-04 23:00:00,,846.2,PREPAID
8338,Mobile - Android,Delivered,K,231704,560087,2022-Apr-04 19:28:00,2022-Apr-04 19:31:00,2022-Apr-04 19:36:00,2022-Apr-04 19:37:00,2022-Apr-04 19:39:00,2022-Apr-04 19:53:00,2022-Apr-04 20:23:00,2022-Apr-04 20:24:00,2022-Apr-04 21:30:00,,322.3,PREPAID
8339,Mobile - Android,Delivered,K,222080,110022,2022-Apr-04 19:28:00,2022-Apr-04 19:35:00,2022-Apr-04 19:36:00,2022-Apr-04 20:00:00,2022-Apr-04 20:02:00,2022-Apr-04 20:19:00,2022-Apr-04 20:41:00,2022-Apr-04 20:42:00,2022-Apr-04 22:00:00,,1244.56,PREPAID
8340,Mobile - Android,Delivered,D,222820,110065,2022-Apr-04 19:28:00,2022-Apr-04 19:30:00,2022-Apr-04 19:33:00,2022-Apr-04 19:37:00,2022-Apr-04 19:39:00,2022-Apr-04 19:52:00,2022-Apr-04 20:06:00,2022-Apr-04 20:09:00,2022-Apr-04 21:30:00,,822.6,PREPAID
8341,Mobile - Android,Arrived,O,222124,201301,2022-Apr-04 19:29:00,2022-Apr-04 19:29:00,2022-Apr-04 19:31:00,2022-Apr-04 19:32:00,2022-Apr-04 20:15:00,2022-Apr-04 20:17:00,2022-Apr-04 21:48:00,,2022-Apr-04 23:00:00,,1113.5,COD
8342,Mobile - Android,Delivered,K,226520,700038,2022-Apr-04 19:29:00,2022-Apr-04 19:36:00,2022-Apr-04 19:37:00,2022-Apr-04 19:54:00,2022-Apr-04 19:56:00,2022-Apr-04 20:01:00,2022-Apr-04 20:19:00,2022-Apr-04 20:22:00,2022-Apr-04 22:00:00,,783.28,PREPAID
8343,Mobile - Android,Delivered,D,226814,700006,2022-Apr-04 19:29:00,2022-Apr-04 19:30:00,2022-Apr-04 19:32:00,2022-Apr-04 19:35:00,2022-Apr-04 19:37:00,2022-Apr-04 19:51:00,2022-Apr-04 20:00:00,2022-Apr-04 20:02:00,2022-Apr-04 21:30:00,,308,PREPAID
8344,Mobile - mWeb,Delivered,K,232944,560035,2022-Apr-04 19:30:00,2022-Apr-04 19:31:00,2022-Apr-05 11:23:00,2022-Apr-05 11:26:00,2022-Apr-05 12:22:00,2022-Apr-05 12:22:00,2022-Apr-05 12:39:00,2022-Apr-05 12:40:00,2022-Apr-04 22:00:00,,804.5,PREPAID
8345,Mobile - Android,Delivered,O,226206,700007,2022-Apr-04 19:30:00,2022-Apr-04 19:31:00,2022-Apr-04 19:33:00,2022-Apr-04 19:39:00,2022-Apr-04 20:26:00,2022-Apr-04 20:38:00,2022-Apr-04 21:08:00,2022-Apr-04 21:10:00,2022-Apr-04 22:00:00,,1199,PREPAID
8346,Mobile - Android,Delivered,D,228022,500060,2022-Apr-04 19:30:00,2022-Apr-04 19:31:00,2022-Apr-04 19:33:00,2022-Apr-04 19:44:00,2022-Apr-04 19:46:00,2022-Apr-04 20:09:00,2022-Apr-04 20:36:00,2022-Apr-04 20:37:00,2022-Apr-04 22:00:00,,999.5,COD
8347,Mobile - Android,Delivered,D,226704,700027,2022-Apr-04 19:30:00,2022-Apr-04 19:38:00,2022-Apr-04 19:39:00,2022-Apr-04 19:42:00,2022-Apr-04 19:44:00,2022-Apr-04 20:08:00,2022-Apr-04 20:45:00,2022-Apr-04 20:47:00,2022-Apr-04 22:00:00,,830.04,PREPAID
8348,Mobile - iOS,Cancelled,,222600,110074,2022-Apr-04 19:31:00,,,,,,,,2022-Apr-05 12:00:00,2022-Apr-04 21:54:00,597.39,PREPAID
8349,Mobile - Android,Billed,,226062,700059,2022-Apr-04 19:31:00,2022-Apr-04 19:32:00,2022-Apr-04 19:35:00,2022-Apr-04 19:36:00,,,,,2022-Apr-04 22:00:00,,588.66,PREPAID
8350,Mobile - Android,Delivered,K,233574,500084,2022-Apr-04 19:31:00,2022-Apr-04 19:34:00,2022-Apr-04 19:36:00,2022-Apr-04 19:42:00,2022-Apr-04 19:44:00,2022-Apr-04 19:48:00,2022-Apr-04 19:52:00,2022-Apr-04 19:54:00,2022-Apr-04 22:00:00,,300,PREPAID
8351,Mobile - Android,Delivered,D,226230,700040,2022-Apr-04 19:31:00,2022-Apr-04 19:32:00,2022-Apr-04 19:33:00,2022-Apr-04 19:41:00,2022-Apr-04 19:43:00,2022-Apr-04 19:50:00,2022-Apr-04 20:10:00,2022-Apr-04 20:12:00,2022-Apr-04 22:00:00,,801.3,COD
8352,Mobile - Android,Delivered,D,226002,700084,2022-Apr-04 19:31:00,2022-Apr-04 19:40:00,2022-Apr-04 19:43:00,2022-Apr-04 19:46:00,2022-Apr-04 19:48:00,2022-Apr-04 20:05:00,2022-Apr-04 20:25:00,2022-Apr-04 20:28:00,2022-Apr-04 22:00:00,,340,PREPAID
8353,Mobile - Android,Assigned,D,230310,560066,2022-Apr-04 19:31:00,2022-Apr-04 19:32:00,2022-Apr-04 19:35:00,2022-Apr-04 19:36:00,2022-Apr-04 19:38:00,,,,2022-Apr-04 22:00:00,,858,PREPAID
8354,Mobile - iOS,Delivered,D,232606,500072,2022-Apr-04 19:32:00,2022-Apr-04 20:21:00,2022-Apr-04 20:23:00,2022-Apr-04 20:23:00,2022-Apr-04 20:25:00,2022-Apr-04 20:42:00,2022-Apr-04 21:08:00,2022-Apr-04 21:11:00,2022-Apr-04 22:30:00,,742.95,PREPAID
